tag,content,label,depth
html body header nav a  ,跳至主要內容,0,5
html body header nav div h1 a  ,:::,0,7
html body header nav div div ul li a  ,網站導覽,0,9
html body header nav div div ul li a  ,廠商專區,0,9
html body header nav div div ul li a  ,最新消息,0,9
html body header nav div div ul li div a  ,計畫公告,0,10
html body header nav div div ul li div a  ,活動快訊,0,10
html body header nav div div ul li a  ,計畫簡介,0,9
html body header nav div div ul li div a  ,SBIR計畫成立背景,0,10
html body header nav div div ul li div a  ,Introduction to SBIR,0,10
html body header nav div div ul li div a  ,因應貿易自由化 ECFA,0,10
html body header nav div div ul li div a  ,地方型SBIR,0,10
html body header nav div div ul li div a  ,未來期許與展望,0,10
html body header nav div div ul li a  ,計畫說明,0,9
html body header nav div div ul li div a  ,計畫申請類別,0,10
html body header nav div div ul li div a  ,申請資格,0,10
html body header nav div div ul li div a  ,應備資料,0,10
html body header nav div div ul li div a  ,收件與服務窗口,0,10
html body header nav div div ul li div a  ,計畫期程及補助款編列原則,0,10
html body header nav div div ul li a  ,諮詢服務,0,9
html body header nav div div ul li div a  ,常見問題,0,10
html body header nav div div ul li a  ,下載專區,0,9
html body header nav div div ul li div a  ,SBIR,0,10
html body header nav div div ul li div a  ,因應貿易自由化 ECFA,0,10
html body header nav div div ul li div a  ,中小企業行動智慧應用計畫,0,10
html body header nav div div ul li div a  ,創業概念海選計畫,0,10
html body header nav div div ul li div a  ,因應COVID-19創新研發計畫,0,10
html body header nav div div ul li div a  ,主題式聯盟,0,10
html body header nav div div ul li a  ,計畫成果,0,9
html body header nav div div ul li div a  ,活動剪影,0,10
html body header nav div div ul li div a  ,廠商成果集,0,10
html body header nav div div ul li a  ,廠商專區,0,9
html body header nav div div ul li div a  ,每期核定名單,0,10
html body header nav div div ul li div a  ,線上說明會,0,10
html body header nav div div div ul li a  ,網站導覽,0,10
html body header nav div div div ul li a  ,廠商專區,0,10
html body main div a  ,:::,0,5
html body main div nav ol li a  ,首頁,0,8
html body main div nav ol li  ,最新消息,0,7
html body main div nav ol li  ,活動快訊,0,7
html body main div h2  ,【TTA2021國際新創展會】 9-11月新創國際展會聯合徵案開跑!,1,5
html body main div div div aside ul li a  ,計畫公告,1,10
html body main div div div aside ul li a  ,活動快訊,1,10
html body main div div div article p strong span span  ,臺灣科技新創基地(TTA),1,11
html body main div div div article p strong span span  ,2021,1,11
html body main div div div article p strong span span  ,下半年9~11月新創國際展會聯合徵案說明,1,11
